抓取時間,超連結,物件標題,物件價格,格局,地址 , 物件類型 , 屋齡 , 樓層,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178776&pi=2&st=&si=10&spu=keaabkd,新潤和峰高樓極品大樓,3980萬,3房2廳2衛58.39坪(建坪),台北市北投區磺港路 , 大樓 , 10.4年 , 13 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188008&pi=3&st=&si=2&spu=jdjabkd,GZ4首都帝景水岸景觀四房,4338萬,4房2廳2衛63.89坪(建坪),台北市中正區水源路 , 大樓 , 6.8年 , 2 / 13樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188010&pi=3&st=&si=3&spu=jdjabkd,GZ4首都帝景綠蔭四房坡車,4338萬,4房2廳2衛63.83坪(建坪),台北市中正區水源路 , 大樓 , 6.8年 , 2 / 13樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178544&pi=3&st=&si=4&spu=jfaabkd,士北科獨棟5房花園,3080萬,5房2廳3衛51.87坪(建坪),台北市北投區文林北路 , 公寓 , 35.6年 , 4-5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178334&pi=3&st=&si=5&spu=jfaabkd,大自然社區庭院邊間大四房,2688萬,6房2廳3衛(含加蓋2房/1衛)46.88坪(建坪),台北市北投區行義路 , 華廈 , 39.8年 , 1 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS177471&pi=3&st=&si=6&spu=ggkabkd,榮華特區庭院一樓,4280萬,4房3廳4衛89.61坪(建坪),台北市北投區榮華一路 , 公寓 , 28.4年 , 1 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187800&pi=3&st=&si=7&spu=hhaabkd,台視雙敦地下室獨立出口,1598萬,1房2廳1衛51.11坪(建坪),台北市松山區八德路三段 , 華廈 , 40.1年 , B1 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37830&pi=3&st=&si=8&spu=jhaabad,喆園43位坡平大車位,15000萬,425.49坪(建坪),台北市松山區敦化北路 , 大樓 , 18.1年 , B3 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37612&pi=4&st=&si=1&spu=hjaabad,陽明山土地送建物,2898萬,241.39坪(地坪),台北市士林區菁山路 , 透天 , 1-2 / 樓,,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37307&pi=4&st=&si=2&spu=jckabkd,高樓美屋大露臺附車位,1880萬,1房1廳1衛21.3坪(建坪),台北市中正區汀州路一段 , 華廈 , 8.3年 , 8 / 9樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS124570&pi=4&st=&si=3&spu=afkkfkd,中研公園思諒新村綠意四房,2888萬,降價2300,台北市南港區研究院路二段 , 公寓 , 40.7年 , 5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178064&pi=4&st=&si=4&spu=idkabkd,中山國小捷運電梯二房,1388萬,2房2廳1衛17.44坪(建坪),台北市中山區林森北路 , 大樓 , 42.5年 , 6 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188287&pi=4&st=&si=5&spu=kdaabkd,F10西門高CP值電梯三房,1880萬,3房1廳1衛24.55坪(建坪),台北市萬華區貴陽街二段 , 華廈 , 41.3年 , 2 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178900&pi=4&st=&si=6&spu=kdaabkd,石牌公園稀有二樓裝潢,2380萬,3房2廳1衛32.62坪(建坪),台北市北投區尊賢街 , 公寓 , 52.3年 , 2 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178241&pi=4&st=&si=7&spu=jeaabkd,樹海景觀三房管理名宅,2380萬,3房2廳2衛39.49坪(建坪),台北市北投區中山北路七段 , 華廈 , 39.9年 , 2 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188279&pi=4&st=&si=8&spu=jeaabkd,F12仙跡國寶景觀稀有釋出,3980萬,3房2廳2衛64.65坪(建坪),台北市文山區興隆路三段 , 大樓 , 19年 , 12 / 13樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS177913&pi=4&st=&si=9&spu=ifaabkd,森原六十六景觀裝潢豪邸,5800萬,3房2廳2衛97.94坪(建坪),台北市北投區公館路 , 華廈 , 9.3年 , 3 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188105&pi=4&st=&si=10&spu=idjabkd,F8四季芳庭面公園三房,4280萬,3房2廳2衛59.5坪(建坪),台北市中山區新生北路二段 , 大樓 , 35.5年 , 3 / 15樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS176392&pi=5&st=&si=1&spu=dgkebkd,近捷運方正4房3樓美寓,1380萬,降價1330,台北市北投區溫泉路 , 公寓 , 54.8年 , 3 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187406&pi=5&st=&si=2&spu=hejabkd,HZ3中山國小捷運雙拼樓中樓,3880萬,4房2廳2衛55.96坪(建坪),台北市中山區新生北路三段 , 大樓 , 34.3年 , 7-8 / 10樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187699&pi=5&st=&si=3&spu=hejabkd,台視雙敦大空間,4888萬,5房4廳2衛(含加蓋1廳)81.25坪(建坪),台北市松山區八德路三段 , 華廈 , 40.1年 , 1-B1 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173940&pi=5&st=&si=4&spu=aiahkak,紐約紐約車位-1,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B2 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173975&pi=5&st=&si=5&spu=aiahkak,紐約紐約車位-6,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B3 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173977&pi=5&st=&si=6&spu=aiahkak,紐約紐約車位-8,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B3 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173976&pi=5&st=&si=7&spu=aiahkak,紐約紐約車位-7,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B3 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173970&pi=5&st=&si=8&spu=aiahkak,紐約紐約車位-5,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B3 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173982&pi=5&st=&si=9&spu=aiahkak,紐約紐約車位-9,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B3 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173946&pi=5&st=&si=10&spu=aiahkak,紐約紐約車位-4,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B2 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173943&pi=6&st=&si=1&spu=aiahkak,紐約紐約車位-3,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B2 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS173942&pi=6&st=&si=2&spu=aiahkak,紐約紐約車位-2,160萬,降價130,台北市中山區中山北路二段 , 大樓 , 18年 , B2 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=OS198694&pi=6&st=&si=3&spu=gfiabkd,榮星花園邊間採光二樓,2100萬,3房2廳2衛35.57坪(建坪),台北市中山區龍江路 , 公寓 , 40.3年 , 2 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188243&pi=6&st=&si=4&spu=kcaabkg,BZ2萬大美寓黃金屋,898萬,1房0廳1衛9.43坪(建坪),台北市萬華區萬大路 , 公寓 , 49.5年 , 2 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188271&pi=6&st=&si=6&spu=kcaabkf,BZ1晴光捷運溫馨美妝宅,980萬,1房1廳1衛8.8坪(建坪),台北市中山區德惠街 , 大樓 , 44.9年 , 7 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178526&pi=6&st=&si=7&spu=hfaabkh,雅敘園北投靜巷美宅,728萬,1房1廳1衛12.64坪(建坪),台北市北投區泉源路 , 公寓 , 46.3年 , 2 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188441&pi=6&st=&si=8&spu=kcaabke,A2稀有低總價雙子星套房,1099萬,1房1廳1衛11.09坪(建坪),台北市大同區華亭街 , 大樓 , 14年 , 3 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187720&pi=6&st=&si=9&spu=ickabkd,FZ6中山國小捷運3房,2310萬,3房2廳2衛27.87坪(建坪),台北市中山區新生北路三段 , 大樓 , 48.2年 , 4 / 9樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37460&pi=6&st=&si=10&spu=icaebkd,安和路超優質電梯鼎家,5180萬,降價4980,台北市大安區安和路一段 , 大樓 , 43.9年 , 7 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178105&pi=7&st=&si=1&spu=ickabkd,天母A+挑高精品美屋,2580萬,1房2廳2衛29.76坪(建坪),台北市士林區士東路 , 大樓 , 15.7年 , 2 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188215&pi=7&st=&si=2&spu=kcaabkd,雙城低總新裝華廈2房,1280萬,2房1廳1衛10.85坪(建坪),台北市中山區雙城街 , 華廈 , 44.8年 , 3 / 6樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37494&pi=7&st=&si=3&spu=ickabkd,潤泰民權捷運純辦,4188萬,2房1廳衛56.45坪(建坪),台北市中山區民權西路 , 大樓 , 33年 , 11 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188207&pi=7&st=&si=4&spu=kcaabkd,F2興安街稀有獨棟美寓,2880萬,3房2廳2衛29.66坪(建坪),台北市松山區興安街 , 公寓 , 42.4年 , 4 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=QS31644&pi=7&st=&si=5&spu=icaebkd,雙捷運松江南京美裝潢2房,1336萬,降價1288,台北市中山區松江路 , 大樓 , 47年 , 4 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=QS31562&pi=7&st=&si=6&spu=icaebkd,雙捷運松江南京美裝潢2房,1336萬,降價1288,台北市中山區松江路 , 大樓 , 47年 , 4 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188275&pi=7&st=&si=7&spu=kcaabkd,AZ2雙子星邊間極品小豪宅,1380萬,1房1廳1衛12.8坪(建坪),台北市大同區華亭街 , 大樓 , 14年 , 2 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188333&pi=7&st=&si=8&spu=kcaabkd,D1正面公園大面寬美寓,2188萬,2房2廳1衛26.7坪(建坪),台北市中山區新生北路二段 , 公寓 , 57.1年 , 2 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188375&pi=7&st=&si=9&spu=kcaabkd,E7新碩華悅新屋三房平車,4388萬,3房2廳2衛49.31坪(建坪),台北市萬華區柳州街 , 大樓 , 1.8年 , 7 / 22樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188410&pi=7&st=&si=10&spu=kcaabkd,盛宴月桂三房雙車位,4388萬,3房2廳2衛52.84坪(建坪),台北市文山區興隆路二段 , 大樓 , 10.3年 , 8 / 13樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188388&pi=8&st=&si=1&spu=kcaabkd,JZ3河畔三角金店面,2480萬,0房1廳1衛22.31坪(建坪),台北市大同區環河北路二段 , 其他 , 40年 , 1 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188416&pi=8&st=&si=2&spu=kcaabkd,EZ9阿曼TIT鋼骨美妝三房車,5400萬,3房2廳2衛60.3坪(建坪),台北市萬華區西寧南路 , 大樓 , 12.7年 , 10 / 27樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188392&pi=8&st=&si=3&spu=kcaabkd,永春捷運優質美寓,2238萬,0房1廳1衛21.31坪(建坪),台北市信義區松山路 , 公寓 , 56.8年 , 3 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS38081&pi=8&st=&si=4&spu=kcaabkd,中正雋詠景觀新婚美宅,2980萬,2房2廳1衛29.09坪(建坪),台北市中正區廈門街 , 華廈 , 0.4年 , 9 / 9樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187412&pi=8&st=&si=5&spu=hdkabkd,FZ6中山LIFE魔術空間,1850萬,3房2廳1衛23.86坪(建坪),台北市中山區林森北路 , 大樓 , 21.3年 , 2 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187615&pi=8&st=&si=6&spu=hdaebkd,H8獨家政大御花園樓中樓,3488萬,降價3458,台北市文山區萬壽路 , 公寓 , 25.6年 , 3 / 3樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188017&pi=8&st=&si=7&spu=jdaabkd,HZ4專任北醫收租都更屋,2780萬,4房1廳2衛35.37坪(建坪),台北市信義區吳興街 , 公寓 , 39.3年 , 3 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS128092&pi=8&st=&si=8&spu=jdaabkd,捷運機能學區三房鼎佳,2080萬,5房3廳2衛27.44坪(建坪),台北市文山區羅斯福路五段 , 公寓 , 45.3年 , 5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS177131&pi=8&st=&si=9&spu=ffkabkd,綠意庭院一樓,1678萬,2房2廳2衛31.08坪(建坪),台北市北投區行義路 , 華廈 , 39.9年 , 1 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS176513&pi=8&st=&si=10&spu=egkabkd,新北投捷運美寓,1598萬,3房2廳1衛32.64坪(建坪),台北市北投區溫泉路 , 公寓 , 50.9年 , 4 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS35988&pi=9&st=&si=1&spu=fhhabak,獨立產權車位,250萬,7.24坪(建坪),台北市中山區民生東路一段 , 其他 , 24.1年 , B2 / 樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS127690&pi=9&st=&si=3&spu=idaabkj,107*台北新巴黎優質一房,536萬,1房1廳1衛6.7坪(建坪),台北市萬華區環河南路一段 , 大樓 , 47.3年 , 8 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS171546&pi=9&st=&si=4&spu=afkekkd,北投行政中心雅寓,1280萬,降價1228,台北市北投區公館路 , 公寓 , 55.2年 , 4 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187416&pi=9&st=&si=5&spu=hckabkf,BZ2捷運低總價小資宅,988萬,1房1廳1衛11.54坪(建坪),台北市中山區撫順街 , 大樓 , 48年 , 2 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187966&pi=9&st=&si=6&spu=jcaabkf,B5寧夏商圈超值套房,988萬,1房1廳1衛12.31坪(建坪),台北市大同區寧夏路 , 華廈 , 33.3年 , 4 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS29941&pi=9&st=&si=8&spu=adkkfkd,陽明永公瞰北市霸景別墅,12800萬,降價8888,台北市士林區永公路 , 別墅 , 54.3年 , 1-2 / 2樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188110&pi=9&st=&si=9&spu=jcaabke,BZ8雙語學區設籍收租寶,1050萬,1房1廳1衛8.2坪(建坪),台北市中山區林森北路 , 大樓 , 42年 , 7 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS186817&pi=9&st=&si=10&spu=eeaefkd,萬隆捷運公寓頂佳,1998萬,降價1880,台北市文山區羅斯福路五段 , 公寓 , 50.3年 , 4 / 4樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187506&pi=10&st=&si=1&spu=hcaebkd,BZ7大橋頭捷運陽光房車宅,1228萬,降價1198,台北市大同區民權西路 , 大樓 , 20.1年 , 9 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS36807&pi=10&st=&si=2&spu=hcaebkd,中正金華電梯住辦,3300萬,降價3288,台北市大安區羅斯福路二段 , 大樓 , 46.8年 , 6 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS36823&pi=10&st=&si=3&spu=hcaebkd,敦化學區大廈5房附車位,7188萬,降價7180,台北市松山區長安東路二段 , 大樓 , 40.3年 , 5 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188085&pi=10&st=&si=4&spu=jcaabkd,FZ1專任中山國中站雙拼華廈,3288萬,3房2廳2衛36.29坪(建坪),台北市中山區復興北路 , 大樓 , 44.7年 , 6 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188106&pi=10&st=&si=5&spu=jcaabkd,萬隆捷運羅斯福華廈,3508萬,1房2廳2衛(含加蓋1房)43.17坪(建坪),台北市文山區萬盛街 , 華廈 , 8.3年 , 5 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188154&pi=10&st=&si=6&spu=jcaabkd,D6金典低總捷運兩房平車,2088萬,2房1廳1衛28.68坪(建坪),台北市文山區辛亥路四段 , 大樓 , 26.3年 , 2 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37838&pi=10&st=&si=7&spu=jcaabkd,仁愛敦南庭院一樓,10900萬,OPEN86.82坪(建坪),台北市大安區仁愛路四段 , 華廈 , 42.4年 , B1-1 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37642&pi=10&st=&si=8&spu=jcaabkd,近科技捷運站管理住辦,5300萬,4室2廳2衛48.43坪(建坪),台北市大安區復興南路二段 , 大樓 , 39.9年 , 3 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178485&pi=10&st=&si=9&spu=jcaabkd,近捷運寧靜一樓,3080萬,3房2廳2衛32.69坪(建坪),台北市北投區清江路 , 公寓 , 39.7年 , 1 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188129&pi=10&st=&si=10&spu=jcaabkd,I11寓見中山北魔術大空間,2680萬,8房2廳3衛32.45坪(建坪),台北市中山區中山北路二段 , 公寓 , 39.1年 , 5 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS127932&pi=11&st=&si=1&spu=jcaabkd,近四鐵共構2房附車位,2700萬,2房2廳1.5衛28.45坪(建坪),台北市南港區興南街 , 大樓 , 30.8年 , 4 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37932&pi=11&st=&si=2&spu=jcaabkd,稀有中正御品附小學區宅,2520萬,1房1廳1衛15.35坪(建坪),台北市中正區愛國東路 , 華廈 , 16.3年 , 2 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188095&pi=11&st=&si=3&spu=jcaabkd,HZ8捷豹高樓優質4房,4380萬,4房2廳2衛39.79坪(建坪),台北市中山區長春路 , 大樓 , 16.8年 , 11 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS127986&pi=11&st=&si=4&spu=jcaabkd,皇鼎花園漫步雲端,6500萬,3房2廳2衛81.94坪(建坪),台北市南港區向陽路 , 大樓 , 14.1年 , 11 / 11樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS188184&pi=11&st=&si=5&spu=jcaabkd,A4晶麒高樓景觀露台戶,4988萬,4房2廳2衛58.91坪(建坪),台北市萬華區康定路 , 大樓 , 8.7年 , 20 / 26樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS178667&pi=11&st=&si=6&spu=jcaabkd,士林官隱樹海景觀,3850萬,2房2廳2衛46.56坪(建坪),台北市士林區福林路 , 華廈 , 9.5年 , 4 / 8樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS37894&pi=11&st=&si=7&spu=jcaabkd,景美捷運黃金商辦,2650萬,0房2廳2衛29.32坪(建坪),台北市文山區景文街 , 華廈 , 46.4年 , 7 / 0樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS164120&pi=11&st=&si=8&spu=ahfakkk,低總價綠景電梯套房,388萬,1房1廳1衛9.81坪(建坪),台北市北投區中山路 , 大樓 , 40.6年 , 6 / 12樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS166212&pi=11&st=&si=9&spu=afahkkd,公園景美裝潢敦煌美寓,1888萬,降價1688,台北市大同區敦煌路 , 公寓 , 44.8年 , 4 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS181281&pi=11&st=&si=10&spu=afahkkd,F11設計師溫馨美寓,1888萬,降價1688,台北市大同區敦煌路 , 公寓 , 44.8年 , 4 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS180626&pi=12&st=&si=1&spu=afahkkd,公園景美裝潢三房美寓,1888萬,降價1688,台北市大同區敦煌路 , 公寓 , 44.8年 , 4 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=WS36213&pi=12&st=&si=2&spu=gdkabkd,民權中山北獨戶美辦,6185萬,4室1廳1衛80.28坪(建坪),台北市中山區中山北路二段 , 華廈 , 33.8年 , 3 / 7樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187774&pi=12&st=&si=3&spu=idaabkd,F1哇大湖國小精美樓中樓,2780萬,3房3廳2衛37.13坪(建坪),台北市內湖區大湖山莊街 , 公寓 , 35.4年 , 2-3 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=XS127585&pi=12&st=&si=4&spu=idaabkd,國美高樓景觀三房,5100萬,3房2廳2衛65.78坪(建坪),台北市內湖區康寧路三段 , 大樓 , 16.1年 , 12 / 14樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=YS173639&pi=12&st=&si=5&spu=agkefkd,中和街大坪數膝蓋救星,1688萬,降價1598,台北市北投區中和街 , 公寓 , 45.4年 , 2 / 5樓,,,
2024/11/28 00:23,https://www.hbhousing.com.tw/detail/?sn=ZS187364&pi=12&st=&si=6&spu=heaabkd,F3稀有延平美寓大三房,1950萬,3房1廳1衛31.08坪(建坪),台北市大同區延平北路四段 , 公寓 , 45.1年 , 5 / 5樓,,,
