抓取時間,超連結,物件標題,地址,原始坪數,實際坪數,格局,價格
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333985.html?city=Taipei&zip=100&type=2,寰宇尊爵高樓大戶,台北市中正區羅斯福路四段,建坪 : 82.61坪 , 主 + 陽 : 47.21坪,3房2廳3.0衛,8988萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02370968.html?city=Taipei&zip=114&type=1,邊間一層一戶明星學區,台北市內湖區金龍路,建坪 : 36.96坪 , 主 + 陽 : 33.17坪,3房2廳1.0衛,2080萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02414997.html?city=Taipei&zip=111&type=11,天母SOGO透天金店面,台北市士林區中山北路六段,建坪 : 40.79坪 , 主 + 陽 : 40.79坪,2房3廳6.0衛,12000萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02214995.html?city=Taipei&zip=106&type=1,師大路大戶一樓,台北市大安區師大路,建坪 : 29.01坪 , 主 + 陽 : 29.01坪,2房0廳1.0衛,6998萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333971.html?city=Taipei&zip=104&type=2,南京復興低總電梯三房,台北市中山區長安東路二段,建坪 : 23.56坪 , 主 + 陽 : 20.65坪,3房2廳2.0衛,2738萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02362114.html?city=Taipei&zip=111&type=2,鄉林陽明樓中樓厝王,台北市士林區基河路,建坪 : 143.24坪 , 主 + 陽 : 77.43坪,4房3廳4.5衛,16200萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333952.html?city=Taipei&zip=110&type=1,吳興美妝公寓頂家,台北市信義區吳興街,建坪 : 29.41坪 , 主 + 陽 : 26.26坪,2房2廳1.0衛,1700萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333954.html?city=Taipei&zip=110&type=2,MOMA景觀套房車,台北市信義區忠孝東路五段,建坪 : 16.78坪 , 主 + 陽 : 7.49坪,1房1廳1.0衛,1988萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02341237.html?city=Taipei&zip=112&type=1,北投明德捷運旁2樓,台北市北投區自強街,建坪 : 24.50坪 , 主建物 : 24.50坪,3房2廳1.0衛,2188萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02364527.html?city=Taipei&zip=112&type=1,B105明德捷運學區3+1房,台北市北投區懷德街,建坪 : 30.93坪 , 主 + 陽 : 30.93坪,4房2廳2.0衛,2300萬2480 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02362094.html?city=Taipei&zip=112&type=2,天墅頂樓厝王景觀極品,台北市北投區天母西路,建坪 : 211.13坪 , 主 + 陽 : 82.29坪,4房3廳6.0衛,18800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02220773.html?city=Taipei&zip=108&type=2,台北晶麒捷運景觀大戶,台北市萬華區康定路,建坪 : 59.18坪 , 主 + 附 : 32.40坪,2房2廳2.0衛,4450萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333938.html?city=Taipei&zip=106&type=2,忠孝統領高樓商辦,台北市大安區忠孝東路四段,建坪 : 59.10坪 , 主建物 : 45.37坪,3房1廳0.0衛,6600萬7000 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333941.html?city=Taipei&zip=105&type=1,民生特區露臺三樓,台北市松山區撫遠街,建坪 : 36.57坪 , 主建物 : 36.57坪,3房2廳2.0衛,3180萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333937.html?city=Taipei&zip=106&type=1,樂利路公寓三房,台北市大安區樂利路,建坪 : 23.04坪 , 主建物 : 23.04坪,3房2廳2.0衛,2138萬2298 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333924.html?city=Taipei&zip=104&type=1,花博頂佳收租金雞母,台北市中山區吉林路,建坪 : 23.13坪 , 主 + 陽 : 23.13坪,4房2廳2.0衛,2368萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333911.html?city=Taipei&zip=106&type=2,文普電梯大四房,台北市大安區基隆路二段,建坪 : 50.14坪 , 主 + 陽 : 43.05坪,4房2廳2.0衛,4418萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02214956.html?city=Taipei&zip=100&type=5,古亭捷運透天屋,台北市中正區和平西路一段,建坪 : 50.15坪 , 主 + 附 : 50.15坪,0房0廳4.0衛,18000萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333888.html?city=Taipei&zip=104&type=2,晶華長春邊間三房,台北市中山區長春路,建坪 : 38.80坪 , 主 + 陽 : 33.41坪,3房2廳1.0衛,2688萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333887.html?city=Taipei&zip=104&type=2,台北市南京雙捷金店辦,台北市中山區長春路,建坪 : 160.68坪 , 主 + 陽 : 105.31坪,8房2廳1.0衛,11500萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333883.html?city=Taipei&zip=103&type=2,中山文華四房車帝王景觀戶,台北市大同區承德路二段,建坪 : 80.14坪 , 主 + 陽 : 43.00坪,4房2廳2.0衛,7980萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02272765.html?city=Taipei&zip=103&type=2,北車人潮金店面有車位,台北市大同區長安西路,建坪 : 54.24坪 , 主 + 陽 : 29.86坪,0房2廳1.0衛,7390萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02272736.html?city=Taipei&zip=103&type=2,百利商辦雙車位7樓,台北市大同區重慶北路二段,建坪 : 228.89坪 , 主 + 陽 : 136.68坪,2房3廳1.0衛,7900萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02135096.html?city=Taipei&zip=105&type=2,高興興業景觀商旅,台北市松山區基隆路一段,建坪 : 230.31坪 , 主 + 陽 : 159.74坪,17房1廳17.0衛,13800萬14000 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02025550.html?city=Taipei&zip=115&type=11,南軟園區街稀有店面,台北市南港區園區街,建坪 : 23.33坪 , 主建物 : 23.33坪,4房2廳1.0衛,3980萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02356522.html?city=Taipei&zip=114&type=16,金矽谷挑高漂亮廠辦,台北市內湖區行愛路,建坪 : 412.79坪 , 主建物 : 169.58坪,0房0廳0.0衛,19888萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02341682.html?city=Taipei&zip=116&type=22,政大風水寶地優質土地,台北市文山區老泉段二小段,地坪 : 2221.56坪,,0房0廳0.0衛,13300萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF12213754.html?city=Taipei&zip=114&type=13,內湖科技工業地361坪,台北市內湖區安康 段,地坪 : 361.73坪,,0房0廳0.0衛,45216萬47000 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_C101800341.html?city=Taipei&zip=111&type=6,社子三角窗美建地,台北市士林區永新段,地坪 : 71.69坪,,0房0廳0.0衛,13800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_KD02005873.html?city=Taipei&zip=111&type=14,天母天玉段持分土地,台北市士林區天玉段二小段,地坪 : 233.84坪,,0房0廳0.0衛,3980萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA11606857.html?city=Taipei&zip=111&type=22,仰德大道特殊建地,台北市士林區至善段四小段,地坪 : 946.22坪,,0房0廳0.0衛,29800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF12212643.html?city=Taipei&zip=112&type=6,北投稀有關渡捷運前住二建地,台北市北投區豐年段四小段,地坪 : 98.01坪,,0房0廳0.0衛,8330萬
2024/11/28 09:15,https://www.twhg.com.tw/house_G302303628.html?city=Taipei&zip=116&type=22,辛亥捷運站公設用地,台北市文山區公訓段二小段,地坪 : 73.25坪,,0房0廳0.0衛,2498萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02362128.html?city=Taipei&zip=112&type=9,奇岩捷運富鼎廣場高樓景觀好漂亮,台北市北投區中央南路二段,建坪 : 82.62坪 , 主 + 陽 : 51.96坪,5房2廳2.0衛,5380萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TI12223005.html?city=Taipei&zip=112&type=14,陽明山萬坪農業用地,台北市北投區湖田段,地坪 : 13800.00坪,,0房0廳0.0衛,18000萬
2024/11/28 09:15,https://www.twhg.com.tw/house_ES02102979.html?city=Taipei&zip=112&type=22,北投陽明山稀有林地,台北市北投區大屯段一小段,地坪 : 113.84坪,,0房0廳0.0衛,350萬
2024/11/28 09:15,https://www.twhg.com.tw/house_G302300279.html?city=Taipei&zip=114&type=6,711內湖碧湖段住宅,台北市內湖區碧湖段四小段,地坪 : 60.09坪,,0房0廳0.0衛,600萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF12310101.html?city=Taipei&zip=114&type=6,內湖新明路透天大空間,台北市內湖區新明路,地坪 : 20.57坪,,0房0廳0.0衛,5000萬
2024/11/28 09:15,https://www.twhg.com.tw/house_EJ02201359.html?city=Taipei&zip=114&type=14,內湖都計內山坡地,台北市內湖區碧山段二小段,地坪 : 179.62坪,,0房0廳0.0衛,585萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02302510.html?city=Taipei&zip=106&type=7,銀座街機平停車位+格,台北市大安區敦化南路一段,建坪 : 109.98坪 , 主建物 : 109.72坪,0房0廳0.0衛,3300萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA01913246.html?city=Taipei&zip=115&type=9,中視新都會廠辦一樓,台北市南港區重陽路,建坪 : 37.67坪 , 主 + 附 : 34.42坪,2房0廳2.0衛,3960萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334033.html?city=Taipei&zip=104&type=4,榮星花園一樓金店面,台北市中山區建國北路三段,建坪 : 11.79坪 , 主 + 附 : 11.28坪,0房0廳0.0衛,4500萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02412003.html?city=Taipei&zip=104&type=2,南京復興高樓精緻四房,台北市中山區長春路,建坪 : 39.78坪 , 主 + 陽 : 25.83坪,2房2廳2.0衛,4380萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02438728.html?city=Taipei&zip=111&type=1,天母低樓層大坪數公寓,台北市士林區德行東路,建坪 : 40.29坪 , 主 + 陽 : 40.29坪,4房2廳2.0衛,2780萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02412012.html?city=Taipei&zip=105&type=2,必賣饒河高樓景觀美3+1房,台北市松山區八德路四段,建坪 : 38.79坪 , 主 + 陽 : 27.68坪,3房2廳2.0衛,3180萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333994.html?city=Taipei&zip=110&type=2,超群低總屋,台北市信義區信義路四段,建坪 : 10.03坪 , 主 + 附 : 7.34坪,2房1廳1.0衛,1580萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02300742.html?city=Taipei&zip=110&type=2,維也納名師設計頂樓豪邸,台北市信義區松高路,建坪 : 140.49坪 , 主 + 陽 : 83.21坪,6房2廳5.0衛,23800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02400970.html?city=Taipei&zip=104&type=2,微風熱區龍江金店面+坡平車位,台北市中山區龍江路,建坪 : 27.15坪 , 主 + 陽 : 19.54坪,0房0廳0.0衛,3900萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02414935.html?city=Taipei&zip=104&type=4,中山國中捷運面寬純一樓,台北市中山區龍江路,建坪 : 72.77坪 , 主 + 附 : 68.70坪,3房2廳1.0衛,8500萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02421475.html?city=Taipei&zip=104&type=2,捷運中山國小亮麗電梯,台北市中山區新生北路三段,建坪 : 11.33坪 , 主建物 : 8.02坪,1房1廳1.0衛,1098萬
2024/11/28 09:15,https://www.twhg.com.tw/house_D302304071.html?city=Taipei&zip=106&type=2,大安二房無車位,台北市大安區臥龍街,建坪 : 15.80坪 , 主 + 附 : 11.75坪,2房2廳1.0衛,1888萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431764.html?city=Taipei&zip=111&type=5,陽明山景觀花園泳池豪墅,台北市士林區永公路,建坪 : 115.68坪 , 主 + 陽 : 95.49坪,8房4廳7.0衛,8888萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02438315.html?city=Taipei&zip=105&type=2,潤泰敦峰高樓層豪宅,台北市松山區市民大道四段,建坪 : 125.45坪 , 主 + 陽 : 61.92坪,3房2廳3.5衛,23800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02414715.html?city=Taipei&zip=103&type=2,全新金瑞山邊間三房車,台北市大同區延平北路二段,建坪 : 43.62坪 , 主 + 陽 : 25.91坪,3房2廳2.0衛,4368萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02337390.html?city=Taipei&zip=104&type=4,晴光商圈全新裝潢2房,台北市中山區雙城街,建坪 : 10.86坪 , 主 + 陽 : 8.88坪,2房1廳1.0衛,1280萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02404257.html?city=Taipei&zip=105&type=2,新光典雅舒適大套房,台北市松山區民生東路五段,建坪 : 11.74坪 , 主 + 陽 : 9.89坪,1房0廳1.0衛,1300萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02406068.html?city=Taipei&zip=103&type=1,(專)圓山站面公園滿租四套房,台北市大同區敦煌路,建坪 : 34.47坪 , 主 + 陽 : 34.47坪,4房4廳4.0衛,1680萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02266003.html?city=Taipei&zip=103&type=2,(專)南西商圈雙捷運大四房,台北市大同區承德路二段,建坪 : 45.50坪 , 主 + 陽 : 38.58坪,4房2廳2.0衛,3850萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02356580.html?city=Taipei&zip=114&type=4,電梯露台車位美裝兩房,台北市內湖區康樂街,建坪 : 51.84坪 , 主 + 陽 : 24.91坪,2房2廳2.0衛,2850萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02205528.html?city=Taipei&zip=104&type=2,大面寬三角窗店面,台北市中山區建國北路二段,建坪 : 111.70坪 , 主 + 附 : 93.18坪,2房4廳1.0衛,19600萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02412023.html?city=Taipei&zip=110&type=1,永春崗森活頂家美屋,台北市信義區松山路,建坪 : 29.11坪 , 主 + 陽 : 17.65坪,3房2廳2.0衛,1780萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02442855.html?city=Taipei&zip=112&type=2,湯自慢日系禪風景觀湯屋,台北市北投區奇岩路,建坪 : 42.70坪 , 主 + 陽 : 18.46坪,0房0廳0.0衛,1828萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02339951.html?city=Taipei&zip=115&type=2,南港翔譽之心邊間三房,台北市南港區興中路,建坪 : 55.65坪 , 主 + 陽 : 26.44坪,3房2廳2.0衛,5500萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02410245.html?city=Taipei&zip=114&type=1,麗山學區大坪公寓四樓,台北市內湖區內湖路三段,建坪 : 40.01坪 , 主 + 陽 : 40.01坪,3房2廳2.0衛,1898萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02421468.html?city=Taipei&zip=100&type=5,稀有信陽透天金店面,台北市中正區信陽街,建坪 : 119.24坪 , 主建物 : 119.24坪,0房0廳0.0衛,26800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02451611.html?city=Taipei&zip=114&type=1,康寧國小旁一樓4房,台北市內湖區星雲街,建坪 : 37.92坪 , 主 + 附 : 37.92坪,4房2廳5.0衛,2680萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333997.html?city=Taipei&zip=100&type=1,臨沂街靜巷二樓,台北市中正區臨沂街,建坪 : 23.75坪 , 主 + 陽 : 23.75坪,2房2廳2.0衛,2480萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02360568.html?city=Taipei&zip=111&type=5,陽明山無敵美景獨棟別墅,台北市士林區永公路,建坪 : 115.68坪 , 主 + 陽 : 95.49坪,7房2廳7.0衛,8888萬20000 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02438310.html?city=Taipei&zip=103&type=4,大同北門商圈四房美廈,台北市大同區貴德街,建坪 : 53.66坪 , 主 + 陽 : 46.28坪,4房3廳3.0衛,4288萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431747.html?city=Taipei&zip=104&type=4,晴光雙城全新美妝居,台北市中山區雙城街,建坪 : 10.86坪 , 主 + 陽 : 8.88坪,2房1廳1.0衛,1280萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02049365.html?city=Taipei&zip=104&type=1,行天宮捷運低總價一樓,台北市中山區新生北路二段,建坪 : 20.61坪 , 主 + 附 : 20.61坪,1房2廳1.0衛,1900萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02364691.html?city=Taipei&zip=104&type=1,龍江路靜巷稀有二樓,台北市中山區龍江路,建坪 : 27.71坪 , 主 + 陽 : 27.70坪,0房0廳0.0衛,2400萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02049364.html?city=Taipei&zip=104&type=1,行天宮捷運孝親1F,台北市中山區新生北路二段,建坪 : 35.36坪 , 主 + 附 : 35.36坪,1房2廳1.0衛,2380萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02117346.html?city=Taipei&zip=114&type=1,東湖安泰邊間一樓,台北市內湖區安泰街,建坪 : 33.04坪 , 主 + 附 : 29.69坪,3房2廳2.0衛,1886萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02370078.html?city=Taipei&zip=114&type=4,必賣大直美妝兩房車位,台北市內湖區文湖街,建坪 : 40.60坪 , 主 + 陽 : 20.38坪,2房2廳2.0衛,2580萬2680 萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431754.html?city=Taipei&zip=104&type=4,吉林靜巷華廈三房,台北市中山區吉林路,建坪 : 33.10坪 , 主 + 陽 : 31.40坪,3房2廳2.0衛,2900萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02438876.html?city=Taipei&zip=110&type=2,世貿雙庭面公園三房,台北市信義區虎林街,建坪 : 74.80坪 , 主 + 陽 : 58.62坪,3房2廳2.0衛,6888萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431761.html?city=Taipei&zip=104&type=2,千金漾鋼骨精品宅,台北市中山區林森北路,建坪 : 13.72坪 , 主 + 陽 : 8.84坪,1房1廳1.0衛,1448萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431756.html?city=Taipei&zip=104&type=4,新生南京美妝電梯頂樓,台北市中山區新生北路一段,建坪 : 44.83坪 , 主 + 陽 : 44.83坪,3房2廳2.0衛,3945萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02300835.html?city=Taipei&zip=108&type=2,御麒麟高樓美景兩房,台北市萬華區康定路,建坪 : 29.86坪 , 主 + 陽 : 21.86坪,2房2廳1.0衛,2488萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02370993.html?city=Taipei&zip=112&type=1,清江國小邊間美妝3房,台北市北投區崇仰一路,建坪 : 25.21坪 , 主 + 陽 : 25.21坪,3房2廳2.0衛,1598萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02424877.html?city=Taipei&zip=111&type=2,捷運站富邸3房車位,台北市士林區文林路,建坪 : 65.19坪 , 主 + 陽 : 37.65坪,3房2廳2.0衛,6322萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02405229.html?city=Taipei&zip=108&type=2,西門站精裝河景一房,台北市萬華區環河南路一段,建坪 : 12.52坪 , 主 + 陽 : 9.27坪,1房1廳1.0衛,1080萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02183517.html?city=Taipei&zip=114&type=5,獨家四期極光車庫別墅,台北市內湖區民權東路六段,建坪 : 73.64坪 , 主 + 陽 : 38.75坪,3房2廳3.0衛,6880萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TG02219715.html?city=Taipei&zip=105&type=1,台北饒河街夜市公寓,台北市松山區饒河街,建坪 : 34.25坪 , 主 + 陽 : 34.25坪,3房2廳1.0衛,2150萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02414474.html?city=Taipei&zip=110&type=1,北醫滿租黃金三樓,台北市信義區吳興街,建坪 : 27.89坪 , 主 + 陽 : 27.89坪,5房0廳5.0衛,1980萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02323369.html?city=Taipei&zip=104&type=4,林森商圈挑高兩房,台北市中山區中山北路一段,建坪 : 13.79坪 , 主 + 陽 : 8.45坪,2房1廳1.0衛,1568萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02414473.html?city=Taipei&zip=106&type=2,菁選附中邊間套房,台北市大安區信義路三段,建坪 : 15.13坪 , 主 + 陽 : 9.14坪,1房1廳1.0衛,2380萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02438330.html?city=Taipei&zip=105&type=4,南京三民靜巷電梯三房,台北市松山區南京東路五段,建坪 : 33.61坪 , 主 + 附 : 29.78坪,3房2廳2.0衛,3188萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02324985.html?city=Taipei&zip=104&type=4,美麗華捷運站景觀宅,台北市中山區北安路,建坪 : 105.26坪 , 主 + 陽 : 46.15坪,4房2廳3.0衛,9900萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02334029.html?city=Taipei&zip=104&type=1,德惠街小資店面,台北市中山區德惠街,建坪 : 30.20坪 , 主 + 附 : 26.62坪,0房1廳1.0衛,2480萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02183922.html?city=Taipei&zip=108&type=3,西門捷運小資宅,台北市萬華區成都路,建坪 : 8.51坪 , 主建物 : 6.23坪,1房0廳1.0衛,750萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02333747.html?city=Taipei&zip=103&type=4,迪化商圈聚財金店辦,台北市大同區延平北路二段,建坪 : 32.82坪 , 主 + 陽 : 16.58坪,0房1廳1.0衛,3990萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02436597.html?city=Taipei&zip=112&type=1,北投一樓吉祥屋,台北市北投區清江路,建坪 : 35.18坪 , 主 + 附 : 32.35坪,4房2廳2.0衛,2550萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431755.html?city=Taipei&zip=103&type=2,重慶圓環邊間採光三房,台北市大同區重慶北路二段,建坪 : 39.49坪 , 主 + 陽 : 33.47坪,3房2廳2.0衛,3680萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02421466.html?city=Taipei&zip=104&type=1,雙捷運稀有庭院一樓,台北市中山區遼寧街,建坪 : 21.84坪 , 主建物 : 21.84坪,4房2廳2.0衛,3700萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02431726.html?city=Taipei&zip=112&type=1,復興崗捷運收租4套房,台北市北投區中央北路三段,建坪 : 20.36坪 , 主 + 陽 : 20.36坪,4房0廳4.0衛,998萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02412007.html?city=Taipei&zip=104&type=2,忠孝新生電梯美屋,台北市中山區松江路,建坪 : 12.25坪 , 主 + 陽 : 9.69坪,2房1廳1.0衛,1336萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02165287.html?city=Taipei&zip=106&type=2,忠孝復興國泰聯合4房車位,台北市大安區忠孝東路三段,建坪 : 46.17坪 , 主建物 : 46.16坪,4房2廳3.0衛,5800萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TA02450853.html?city=Taipei&zip=114&type=1,東湖國小旁高投報小金雞母,台北市內湖區東湖路,建坪 : 38.35坪 , 主 + 陽 : 38.35坪,5房0廳5.0衛,1150萬
2024/11/28 09:15,https://www.twhg.com.tw/house_TF02447376.html?city=Taipei&zip=106&type=2,大安森林公園美景鎏金宅,台北市大安區建國南路一段,建坪 : 40.09坪 , 主 + 陽 : 25.58坪,1房2廳1.0衛,5300萬
