抓取時間,超連結,物件標題,地址,屋齡,物件類型,原始坪數,實際坪數,格局,總樓層,所在樓層,物件被點擊次數,額外資訊1,額外資訊2,額外資訊3,現在價格
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/3082TM/?breadcrumb=list,峰上扶輪公園三房面文二木村峰上,新北市林口區文化二路一段,11.3,年大樓,82.02,45.673,3房2廳2衛,18,9,27,有裝潢,廁所開窗,警衛管理,"4,086"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/8048UF/?breadcrumb=list,羅馬高樓闊景２房坡平車位三圓羅馬,新北市新店區安興路,29.6,年大樓,36.46,19.232,2房2廳1衛,21,17,501,有裝潢,有景觀,有陽台,"1,488"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/4492KP/?breadcrumb=list,將捷輕軌四房大露臺雙車位將捷家和,新北市新店區安和路一段,8.1,年大樓,80.91,40.64,4房2廳2衛,18,3,28,有裝潢,前後陽台,有陽台,"3,779"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/9294TC/?breadcrumb=list,☆宇宙光三房遠眺北市春池宇宙光,新北市板橋區民生路三段,24.2,年大樓,48.47,28.383,3房2廳2衛,31,26,33,有裝潢,有景觀,有陽台,"3,380"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/7760CR/?breadcrumb=list,喬治五世雋藏大戶漢皇極品喬治五世,新北市永和區中正路,13.1,年大樓,116.11,63.754,4房2廳3衛,24,6,137,有裝潢,前後陽台,有陽台,"6,388"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/1162CM/?breadcrumb=list,三圓羅馬高樓景觀三圓羅馬,新北市新店區安興路,29.6,年大樓,55.69,43.374,4房2廳2衛,21,18,26,有景觀,廁所開窗,房間皆有窗,"2,288"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/4944SY/?breadcrumb=list,世界之洲雙主臥裝潢豪邸世界之洲,新北市林口區文化三路一段,14.9,年大樓,121.81,72.644,4房2廳4衛,19,12,332,有裝潢,前後陽台,有陽台,"5,988"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/6479JY/?breadcrumb=list,近捷運∞邊間高樓景觀兩房萬信家園,新北市蘆洲區長榮路,29.7,年大樓,26.98,20.692,2房2廳2衛,17,15,1670,有裝潢,有景觀,有陽台,"1,700"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/8139RC/?breadcrumb=list,學校旁．新婚首購首選,新北市板橋區吳鳳路,44.5,年公寓,32.34,32.343,3房3廳1衛,5,5,687,有裝潢,有陽台,廁所開窗,"1,398"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/6212JR/?breadcrumb=list,皇翔玉鼎˙一生值得擁有皇翔玉鼎,新北市三峽區學成路,12.4,年大樓,89,46.774,4房2廳2衛,28,19,1116,有景觀,前後陽台,有陽台,"3,880"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/0832ZS/?breadcrumb=list,比漾百貨東家電梯３房車位東家,新北市永和區保生路,24.9,年大樓,52.53,28.113,3房2廳2衛,26,11,107,有裝潢,有景觀,有陽台,"3,390"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/9440PJ/?breadcrumb=list,低低低總價竹圍套房關渡大街一,新北市淡水區民族路,27.9,年華廈,10.19,7.61,1房1衛7樓,7,7,356,有裝潢,房間皆有窗,警衛管理,588
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/1752HY/?breadcrumb=list,海德堡採光美屋九揚海德堡,新北市泰山區明志路一段,13.4,年大樓,33.82,24.693,3房2廳2衛,12,5,4,有裝潢,警衛管理,具垃圾處理,"1,580"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/1422NX/?breadcrumb=list,四季水漾三房．朝南溪景四季水漾,新北市淡水區中山北路三段,11.2,年大樓,53.39,29.43,3房2廳2衛,15,7,242,有裝潢,前後陽台,有陽台,"1,650"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/5860ZF/?breadcrumb=list,樺福水悅３＋１房附車位樺福水悅,新北市永和區環河西路一段,14.4,年大樓,54.04,31.834,4房2廳2衛,27,3,0,有裝潢,有陽台,廁所開窗,"3,488"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/2987TW/?breadcrumb=list,紅樹林海闊都會大宅海闊-海闊區,新北市淡水區中正東路二段,17.6,年大樓,69.93,44.733,3房2廳3衛,14,3,10,有陽台,廁所開窗,房間皆有窗,"2,950"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/5380TY/?breadcrumb=list,超級Ｆ１‧大兩房耶誕禮物超級F1,新北市板橋區新府路,16.0,年大樓,47.44,23.723,3房2廳2衛,24,13,59,有裝潢,有景觀,有陽台,"3,488"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/94011U/?breadcrumb=list,ＡＰＴ國泰新莊園露台稀有國泰新莊園,新北市新莊區福德二街,10.8,年大樓,68.29,36.173,3房2廳2衛,15,2,93,前後陽台,有陽台,廁所開窗,"4,788"
2024-11-27 21-40-28,https://www.sinyi.com.tw//buy/house/0779TD/?breadcrumb=list,敦仁旁公寓三樓,新北市三重區新北大道一段,46.7,年公寓,24.2,24.23,3房2廳1衛,4,3,166,廁所開窗,近公園,近捷運,"1,280"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/2803DQ/?breadcrumb=list,清淞高樓山景湯屋車位清淞,新北市淡水區淡金路,16.2,年大樓,22.25,10.211,1房1廳1衛,29,26,0,有景觀,廁所開窗,警衛管理,910
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/4059PK/?breadcrumb=list,引人入勝台北大道景觀四房台北大道,新北市新莊區龍安路,29.4,年大樓,42.06,33.354,4房2廳2衛,15,13,32,有裝潢,有景觀,前後陽台,"1,958"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/5337VL/?breadcrumb=list,文化風華次頂樓景觀戶文化風華,新北市板橋區文化路二段,0.5,年大樓,45.54,24.083,3房2廳2衛,15,14,515,有景觀,前後陽台,有陽台,"3,680"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/9809CD/?breadcrumb=list,★ＭＡＧＩＣ★凱旋門套房,新北市中和區華福街,14.8,年華廈,8.35,3.71,1房1衛2樓,7,2,4745,近公園,近捷運,近市場,530
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/9417KU/?breadcrumb=list,亞東帝國邊間兩房車位皇翔帝國,新北市板橋區四川路二段,15.3,年大樓,42.79,21.572,2房2廳1衛,29,9,1120,有裝潢,有陽台,廁所開窗,"2,560"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/2505DQ/?breadcrumb=list,頂埔捷運３房車位。美中央第一城,新北市土城區中央路四段,31.2,年大樓,39.4,26.523,3房2廳2衛,13,5,53,有裝潢,有陽台,房間皆有窗,"1,970"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/4223NC/?breadcrumb=list,遠雄新宿住宅大兩房車位遠雄新宿,新北市新莊區新北大道四段,8.7,年大樓,56.92,30.422,2房2廳2衛,27,20,39,有裝潢,有景觀,廁所開窗,"3,598"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/4368GJ/?breadcrumb=list,四季之旅高樓景觀３房台北灣五期-四季...,新北市淡水區新市一路一段,8.1,年大樓,46.27,23.883,3房2廳2衛,23,21,1178,有裝潢,有景觀,前後陽台,"1,688"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/8122NF/?breadcrumb=list,專任新巨蛋精美三房車位新巨蛋(C區),新北市板橋區文化路一段,14.4,年大樓,45.99,26.193,3房2廳2衛,43,7,138,有裝潢,有景觀,有陽台,"3,980"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/4346NS/?breadcrumb=list,遠眺豪景大戶四房次頂樓皇翔太陽城,新北市土城區中央路四段,18.3,年大樓,64.75,42.724,4房2廳2衛,15,14,89,有裝潢,有景觀,有陽台,"3,088"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/70907M/?breadcrumb=list,大家樂三房車位大家樂榮華區,新北市三重區成功路,25.4,年華廈,45.21,24.833,3房2廳2衛,9,4,69,有裝潢,有陽台,警衛管理,"2,558"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/9231QB/?breadcrumb=list,經典歐風。景觀三房＋車位經典歐洲,新北市中和區民樂路,19.6,年大樓,38.83,21.283,3房2廳2衛,14,7,97,有裝潢,有景觀,有陽台,"2,288"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/3757MX/?breadcrumb=list,住了會成功的溫馨華廈家住市中心(雙號...,新北市蘆洲區成功路,31.1,年華廈,31.28,26.063,3房2廳2衛,6,3,624,有裝潢,有景觀,前後陽台,"1,868"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/5060TT/?breadcrumb=list,歡樂耶誕超級Ｆ１超級F1,新北市板橋區新府路,16.0,年大樓,15.25,9.552,2房1廳1衛,24,12,0,有裝潢,有陽台,廁所開窗,"1,568"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/3879YW/?breadcrumb=list,海上皇宮海景大戶典藏豪邸,新北市淡水區濱海路三段,5.5,年大樓,158.52,93.262,2廳12,21,12,0,毛胚屋,有景觀,前後陽台,"6,800"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/3458LQ/?breadcrumb=list,湯泉櫻花四房質感裝潢湯泉櫻花,新北市新店區溪園路,22.0,年大樓,52.59,35.394,4房2廳2衛,14,2,125,有裝潢,有景觀,前後陽台,"3,560"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/8279QY/?breadcrumb=list,【築之賞】稀有指名社區歐洲村-築之賞,新北市新莊區中平路,19.8,年大樓,42.51,26.492,2房2廳2衛,12,10,606,有裝潢,有景觀,前後陽台,"2,888"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/9592LF/?breadcrumb=list,伯爵美景三房車位W未來(伯爵花園...,新北市五股區芳洲七路,9.3,年大樓,44.96,24.173,3房2廳2衛,15,5,286,有裝潢,有陽台,廁所開窗,"1,998"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/6707FZ/?breadcrumb=list,真愛＊玉鼎美屋皇翔玉鼎,新北市三峽區學成路,12.4,年大樓,59.7,33.462,2房2廳2衛,28,9,53,有景觀,前後陽台,有陽台,"2,968"
2024-11-27 21-40-34,https://www.sinyi.com.tw//buy/house/6571KQ/?breadcrumb=list,峰光雅致‧高樓兩房車位新峰光,新北市蘆洲區長興路,8.3,年大樓,34.4,19.922,2房2廳1衛,12,8,358,有景觀,前後陽台,有陽台,"2,788"
